Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2017-07-24,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,MINISTER ZA ZUNANJE ZADEVE BELORUSIJE VLADIMIR MAKEI,protokolarno,neposredno,SLIKA V OKVIRJU,80,OSEBNA NESTROKOVNA OCENA,"POLITIČNE KONZULTACIJE V SARAJEVU, 02.03.2022",Subjekta javnega sektorja (delodajalca)
2017-09-01,MESTNA OBČINA LJUBLJANA,funkcionar,ŽUPAN OBČINE ŽALEC,priložnostno,neposredno,KNJIGA PETRA ZIMMERMANNA: SAVINJSKA DOLINA IN NOVO CELJE,80,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2017-09-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,MIHA MURN,protokolarno,neposredno,umetniška slika,80,osebna nestrokovna ocena,uradni obisk,Subjekta javnega sektorja (delodajalca)
2017-10-03,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,INETA ZIEMELE,protokolarno,neposredno,PORCELANASTA VAZA,80,osebna nestrokovna ocena,uradni obisk,Subjekta javnega sektorja (delodajalca)
2017-10-24,MINISTRSTVO ZA ZDRAVJE,funkcionar,minister za zdravje republike slovaške,protokolarno,neposredno,knjiga: bratislava,80,osebna nestrokovna ocena,uradni obisk,Subjekta javnega sektorja (delodajalca)
2017-10-24,MINISTRSTVO ZA ZDRAVJE,funkcionar,minister za zdravje republike slovaške,protokolarno,neposredno,zbirka poštnih znamk - dvojnik,80,osebna nestrokovna ocena,uradni obisk v republiki ciper,Subjekta javnega sektorja (delodajalca)
2018-02-12,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,letališče edvarda rusjana maribor,priložnostno,posredno,otvoritveni let Maribor - Muenchen - antwerpen,80,osebna nestrokovna ocena,"obisk mzz Logarja v Alžiriji, 16.03.2022",Subjekta javnega sektorja (delodajalca)
2018-02-12,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,letališče edvarda rusjana maribor,priložnostno,posredno,udeležba na otvoritvenem letu maribor-muenchen-antwerpen,80,PREVERJENA CENA NA SPETU,"OBISK MZZ LOGARJA V ALŽIRIJI, 16.03.2022",Subjekta javnega sektorja (delodajalca)
2018-02-20,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK REPUBLIKE KOREJE HA JUNG-SUN,protokolarno,neposredno,SLIKA- DREVO MAGNOLIJA,80,NESTROKOVNA OCENA,"PRIOŽNOSTNI OBISK, SREČANJE",Subjekta javnega sektorja (delodajalca)
2018-06-08,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK US REPUBLIKE HRVAŠKE,protokolarno,neposredno,REPLIKA PSEFIZME IZ LUMBARDE,80,osebna ocena,uradni obisk ministra v rimu,Subjekta javnega sektorja (delodajalca)
2018-09-10,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,funkcionar,"dr. raymond Xerri, direktor direktorata za maltežane po svetu in predsednik mednarodne nevladen organizacije evropejci po sveTU",protokolarno,neposredno,Vaza,80,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V DRŽAVI KATAR,Subjekta javnega sektorja (delodajalca)
2018-10-04,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Kazuko SHIARISHI, veleposlanica in posebna odposlanka Japonske Vlade za kandidaturo Osake za organizacijo svetovne razstave EXPO 2025",protokolarno,neposredno,Tradicionalna Japonska tkanina Kinran,80,osebna nestrokovna ocena,uradni obisk v državi Katar,Subjekta javnega sektorja (delodajalca)
2018-12-04,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK OPOZICIJSKE STRANKE ND KYRIAKOSOM MITSOTAKISEM,protokolarno,neposredno,SREBRNA ŠALČKA,80,OSEBNA NESTROKOVNA OCENA,SREČANJE Z IGRALCI NZS V KATARJU,Subjekta javnega sektorja (delodajalca)
2018-12-14,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Michael POMPEO, državni sekretar ZDA",protokolarno,neposredno,pisemski set z ročno izdelanim lesenim peresom,80,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V DRŽAVI KATAR,Subjekta javnega sektorja (delodajalca)
2019-01-28,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"MAJA GOJKOVIĆ, PREDSEDNICA NARODNE SKUPŠČINE REPUBLIKE SRBIJE",protokolarno,neposredno,SLIKA PARLAMENTA REPUBLIKE SRBIJE V OKVIRJU,80,osebna nestrokovna ocena,pogovor v uradu prs,Subjekta javnega sektorja (delodajalca)
2019-01-29,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"šejk Abdullah bin Zayed AL NAHYAN, minister za zunanje zadeve in mednarodno sodelovanje Združenih Arabskih Emiratov",protokolarno,posredno,obtežilnik jadrnice na kamnitem podstavku,80,OSEBNA NESTROKOVNA OCENA,"udeležba predsednika RS na dogodku ""High Level Session"" na temo ""Slovenia and Qatar Economic Bilateral Cooperation"" v organizaciji ""Qatar Leadership Center""",Subjekta javnega sektorja (delodajalca)
2019-02-11,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"mag. Talat Xhaferi, predsednik dobranja republike makedonije",protokolarno,neposredno,uokvirjen bronasti kipec,80,osebna nestrokovna ocena,sprejem predsednice,Subjekta javnega sektorja (delodajalca)
2019-02-11,MINISTRSTVO ZA INFRASTRUKTURO,funkcionar,minister za promet in infrastrukturo turčije,protokolarno,neposredno,vaza,80,preverjena cena na trgu,sprejem predsednika,Subjekta javnega sektorja (delodajalca)
2019-04-06,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"mag. Jožek horvat muc, predsednik zveze romov slovenije",priložnostno,neposredno,"Knjigica ""marlena pripoveduje"", Romsko slovenski slovar, knjiga ""romska skupnost v sloveniji"", knjigica ""mini multi"", knjigica ""romske legende"" in zgoščenka ""kompilacija prekmursko romskih skladb vol1""",80,OSEBNA NESTROKOVNA OCENA,SPREJEM PRI PREDSEDNIKU,Subjekta javnega sektorja (delodajalca)
2019-04-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,AMERIŠKI KONGRESNIK PAUL ANTHONY GOSAR,protokolarno,neposredno,manšetni gumbi,80,osebna nestrokovna ocena,uradni obisk na cipru,Subjekta javnega sektorja (delodajalca)
2019-05-12,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"predsednik US litve, dr. žalimas",protokolarno,neposredno,srebrni kovanec v šatulji,80,PREVERJENA CENA PREKO SPLETNE STRANI,SPOZNAVNO SREČANJE MED ŽUPANOM MOM IN PODŽUPANJO MESTA GRADEC,Subjekta javnega sektorja (delodajalca)
2019-07-09,MESTNA OBČINA MURSKA SOBOTA,funkcionar,"stanislav raščan, ministrstvo za zunanje zadeve",priložnostno,posredno,2 x knjiga,80,osebna nestrokovna ocena,udeležba PDZ na expu,Subjekta javnega sektorja (delodajalca)
2019-08-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,ŽUPANJA OBČINE ČRENŠOVCI VERA MARKONJ,protokolarno,neposredno,"SLIKA DEKLET, KI PLEŠEJO V NARONIH NOŠAH",80,OSEBNA NESTROKOVNA OCENA,SPREJEM DELEGACIJE MESTNE OBČINE NOVO MESTO OB UDELEŽBI NA RAZSTAVI DOLENJSKEGA MUZEJA (SAŠA FUIS) NA PRAŠKEM GRADU - PLEČNIKOVO LETO,Subjekta javnega sektorja (delodajalca)
2019-10-01,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"predsednik us litve, dr. žalimas",protokolarno,neposredno,monografija prvi statut litve,80,po ceniku storitev,povabilo organizatorja,Subjekta javnega sektorja (delodajalca)
2019-11-07,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Atef TARAWNEH, predsednik Predstavniškega doma Hašemitske kraljevine Jordanije",protokolarno,posredno,uokvirjena plaketa z motivom jordanskega mesta Jaresh,80,nestrokovna ocena,sprejem pri PV RS,Subjekta javnega sektorja (delodajalca)
2019-12-03,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Stanislav HOČEVAR, beograjski nadškof",priložnostno,neposredno,zbirka knjig Beograjske nadškofije,80,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V REPUBLIKI SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2019-12-03,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Maja GOJOVIĆ, predsednica Parlamenta Republike Srbije",protokolarno,neposredno,oukvirjena slika z dvema pticama,80,nestrokovna ocena,obisk,Subjekta javnega sektorja (delodajalca)
2019-12-05,OBČINA GORNJA RADGONA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina tinjan, hrvaška",protokolarno,neposredno,umetniška slika,80,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2019-12-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"polkovnik Daniel Pisani, poveljnik Večnacionalne bojne skupine Zahod (RC West)",protokolarno,neposredno,keramična figura tradicionalnega italijanskega vojaka v začetku 20. stoletja,80,uradna oseba in skrbnik evidence daril,"POLICIJSKI ATAŠE LJUDSKE REP. KITAJSKE V REP. SLOVENIJI, JE OBisku po IZVEDENIH UKREPIH POLICIJE ZA ISKANJE POGREŠANE DRŽAVLJANKE KITAJSKE NA OBMOČJU BLEDA, PREDAL PISNO ZAHVALO IN PROTOKOLARNO DARILO - VAZO IZ PORCELANA, V IMENU AMBASADORJA LJUDSKE REPUBLIKE KITAJSKE V REP. SLOVENIJI.",Subjekta javnega sektorja (delodajalca)
2020-09-18,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Nikos DENDIAS, minister za zunanje zadeve Grčije",protokolarno,neposredno,"posrebrena bakrena replika skodelice z reliefnim motivom namišljenih in resničnih bitij, ločenih s cvetličnimi vzorci",80,OSEBNA NESTROKOVNA OCENA,SPREJEM ZA BEGUNCE IZ UKRAJINE V PREDSEDNIŠKI PALAČI,Subjekta javnega sektorja (delodajalca)
2020-09-22,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,VELEPOSLANIK IRANA SHAFEI,protokolarno,neposredno,KROŽNIK Z VZORCEM,80,tržna vrednost,vljudnostni obisk na Univerzi,Subjekta javnega sektorja (delodajalca)
2020-10-19,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,MINISTER ZA ZUNANJE ZADEVE REPUBLIKE SEVERNE MAKEDONIJE OSMANI,protokolarno,neposredno,MOZAIK S KOZO,80,spletna stran porizvajalca,službeno srečanje,Subjekta javnega sektorja (delodajalca)
2021-02-05,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"angelo farrugia, predsednik parlamenta malte",protokolarno,neposredno,"knjiga ""encounters with valletta - a baroque city through the ages""",80,NESTROKOVNA OCENA,URADNI OBISK V RS,Subjekta javnega sektorja (delodajalca)
2021-02-05,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"evarist bartolo, minister za zunanje in evropske zadeve malte",protokolarno,neposredno,posrebrena maketa jadrnice na lesenem podstavku,80,OSEBNA NESTROKOVNA OCENA,DARILO OB ROJSTNEM DNEVU,Subjekta javnega sektorja (delodajalca)
2021-02-06,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"nicos anastasiades, predsednik republike ciper",protokolarno,posredno,posrebrena posodica z motivom male grške trgovske ladje,80,strokovna ocena,uradni obisk v Republiki Sloveniji,Subjekta javnega sektorja (delodajalca)
2021-02-16,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,"ZOLTAN KOVACS, VLADNI KOMISAR MADŽARSKE",protokolarno,neposredno,"Namizna okrasna keramična ura velikosti cca 20 cm, proizvajalec herendi porcelanmanufaktura zrt.",80,strokovna ocena,uradni obisk emirja v RS,Subjekta javnega sektorja (delodajalca)
2021-02-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"MARKO DIACI ŽUPAN OBČINE ŠENTJUR, MESTNI TRG 10, ŠENTJUR",protokolarno,neposredno,"SLIKA SKLADATELJEV"" IPAVČEVO LETO"" V POZLAČENEM OKVIRJU",80,preverjena cena na trgu,uradni obisk v republiki Sloveniji,Subjekta javnega sektorja (delodajalca)
2021-04-13,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Kazem SHAFEI, veleposlanik ISLAMSKE REPUBLIKE Iran, tOLSTOJEVA ULICA 8, 1000 LJUBLJANA",priložnostno,neposredno,Kovinski stenski okrasni krožnik z iranskimi nacionalnimi motivi,80,preverjena cena na trgu,uradni obisk v Republiki Sloveniji,Subjekta javnega sektorja (delodajalca)
2021-05-04,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"MEVLÜT CAVUSOGLU, MINISTER ZA ZUNANJE ZADEVE REPUBLIKE TURČIJE",protokolarno,neposredno,SET ZA POSTREŽBO TURŠKE KAVE,80,nestrokovna ocena,delovno kosilo,Subjekta javnega sektorja (delodajalca)
2021-06-22,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"mag. Wolfgang SObotka, predsednik državnega zbora r. avstrije",protokolarno,neposredno,kristalen vrč in 2 kozarca,80,OCENJENA VREDNOST NA PODLAGI SPLETNE STRANI WWW.ROLEX.COM,ZAHVALNO DARILO OB OBISKU KATARSKEGA EMIRJA V SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2021-06-30,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"majintha jayesinghe, veleposlanik Sri Lanke v RS",protokolarno,neposredno,komplet 6 skodelic za čaj s podstavkom,80,OSEBNA NESTROKOVNA OCENA,"PODPIS SPORAZUMA S SUVERENIM MALTEŠKIM VITEŠKIM REDOM V RIMU, 19.05.2022",Subjekta javnega sektorja (delodajalca)
2021-09-03,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Teimuraz JANJALIA, namestnik zunanjega ministra Gruzije",priložnostno,neposredno,Glinena situla z nacionalnimi motivi,80,OSEBNA NESTROKOVNA OCENA,URADNI OBISK NA POLJSKEM - VARŠAVA,Subjekta javnega sektorja (delodajalca)
2021-09-15,OBČINA PIRAN,Uradna oseba,društvo livarjev,priložnostno,neposredno,livarsko delo,80,OSEBNA NESTROKOVNA OCENA,URADNI OBISK POLJSKE - VARŠAVA,Subjekta javnega sektorja (delodajalca)
2021-09-27,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ALEKSA BEČIĆ, PREDSEDNIK SKUPŠČINE ČRNE GORE",protokolarno,posredno,USNJEN ROKOVNIK IN PERO Z GRBOM ČRNE GORE,80,OCENJENA VREDNOST NA PODLAGI SPLETNE STRANI WWW.ROLEX.COM,ZAHVALNO DARILO OB OBISKU KATARSKEGA EMIRJA V REPUBLIKI SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2021-11-03,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"NIKOLAOS DENDIAS, MINISTER ZA ZUNANJE ZADEVE GRČIJE",protokolarno,neposredno,BRONASTA REPLIKA VAZE ZA VINO IN VODO,80,OCENJENA VREDNOST NA PODLAGI SPLETNE STRANI WWW.ROLEX.COM,ZAHVALNO DARILO OB OBISKU KATARSKEGA EMIRJA V SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2022-01-18,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ABDULLAH BIN ZAYED AL NAHYAN, MINISTER ZA ZUNANJE ZADEVE IN MEDNARODNO SODELOVANJE ZDRUŽENIH ARABSKIH EMIRATOV",priložnostno,posredno,"MAKETA ŠČITA, KI PREDSTAVLJA LOGOTIP EXPO 2020",80,Primerljivo na spletu.,"uradni obisk pri predsedniku države, kot zahvala za dobro opravljeno delo.",Subjekta javnega sektorja (delodajalca)
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"BUI THANH SON, MINISTER ZA ZUNANJE ZADEVE VIETNAMA",priložnostno,neposredno,UOKVIRJENA SLIKA LOTUSA S SREBRNO NITKO,80,vrednost eneka vrednosti na spletu,obisk ministra Države katar v rs,Subjekta javnega sektorja (delodajalca)
2022-02-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"Antonio Costa, predsednik vlade Portugalske Republike",protokolarno,posredno,manšetni gumbi,80,vrednost eneka vrednosti na spletu,obisk ministra Države katar v rs,Subjekta javnega sektorja (delodajalca)
2022-03-28,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,častni generalni konzul Republike Slovenije na Cipru,protokolarno,posredno,lončen lonec - kopija originala iz zgodnje bronaste dobe,80,vrednost eneka vrednosti na spletu,obisk ministra Države katar v rs,Subjekta javnega sektorja (delodajalca)
2022-08-28,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Družinski član uradne osebe,Islandski predsednik gospod Guđni Thorlacius Jóhannesson s soprogo Elizo Reid,protokolarno,neposredno,ženski volnen pulover,80,maloprodajna cena darovalca,večdnevno službeno srečanje,Subjekta javnega sektorja (delodajalca)
2022-08-28,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Islandski predsednik gospod Guđni Thorlacius Jóhannesson s soprogo Elizo Reid,protokolarno,neposredno,moški volnen pulover,80,MALOPRODAJNA CENA DAROVALCA,VEČDNEVNO SLUŽBENO SREČANJE,Subjekta javnega sektorja (delodajalca)
2022-11-08,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"Luis Goncalves, CEO Iskraemeco",protokolarno,neposredno,"knjiga ""the treasures of the egyptian museum""",80,MALOPRODAJNA CENA DAROVALCA,večdnevno službeno srečanje na slovaškem,Subjekta javnega sektorja (delodajalca)
2022-11-29,DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL,Uradna oseba,"The Public Procurement Commission (PPC), Albanija",protokolarno,posredno,krožnik in kovanec,80,MALOPRODAJNA CENA DAROVALCA,VEČDNEVNO SLUŽBENO SREČANJE NA SLOVAŠKEM,Subjekta javnega sektorja (delodajalca)
2022-12-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"EMA KLINEC, ŠPORTNICA",priložnostno,neposredno,BOKSARSKE ROKAVICE S PODPISOM EME KLINEC,80,MALOPRODAJNA CENA DAROVALCA,VEČDNEVNO SLUŽBENO SREČANJE NA SLOVAŠKEM,Subjekta javnega sektorja (delodajalca)
2022-12-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,Njegova eminenca kardinal Pietro parolin,protokolarno,neposredno,knjiga,80,MALOPRODAJNA CENA DAROVALCA,VEČDNEVNO SLUŽBENO SREČANJE,Subjekta javnega sektorja (delodajalca)
2022-12-20,Ministrstvo za zunanje in evropske zadeve,Uradna oseba,"ANA BRNABIĆ, PREDSEDNICA VLADE SRBIJE",priložnostno,neposredno,"UOKVIRJENA MINIATURA (VEZENINA, ROČNO DELO)",80,MALOPRODAJNA CENA DAROVALCA,VEČDNEVNO SLUŽBENO SREČANJE NA SLOVAŠKEM,Subjekta javnega sektorja (delodajalca)
2022-12-28,Ministrstvo za zunanje in evropske zadeve,Uradna oseba,"DESTIL CREATIVE HUB, ZOGU I BLVD, TIRANA",priložnostno,posredno,PREPROGA (ROČNO DELO),80,PREVERJENA CENA NA SPLETU,SPREJEM DELEGACIJE OBČINE MIREN KOSTANJEVICA NA VELEPOSLANIŠTVU RS V PRAGI - OBISK DELEGACIJE V POBRATENI OBČINI KRALUPY NAD VLTAVOU,Subjekta javnega sektorja (delodajalca)
2022-12-28,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"DESTIL CREATIVE HUB, ZOGU I BLVD, TIRANA",priložnostno,posredno,PREPROGA (ROČNO DELO),80,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2019-06-10,MINISTRSTVO ZA INFRASTRUKTURO,funkcionar,RICK PERRY,protokolarno,neposredno,MEHANSKA NAMIZNA URA,77,primerjava po spletu,sprejem doyena ob 30-letnici samostojnosti slovenije,Subjekta javnega sektorja (delodajalca)
2021-02-09,MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE,Uradna oseba,"jasna grčar, arclin 55 b, 2111 škofja vas",priložnostno,neposredno,"praline lindt, toaletna voda lancome la nuit tresor nude",77,nestrokovna ocena,udeležba državnega sekretarja dr. Igorja senčarja na sprejemu ob 30. obletnici neodvisnosti RS ter drugemu predsedovanju Svetu EU,Subjekta javnega sektorja (delodajalca)
2015-12-23,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,dars,priložnostno,posredno,"vstopnici za prireditev, dva vrednostna bona za prireditev",76,osebna nestrokovna ocena,sprejem za diplomatski vrh,Subjekta javnega sektorja (delodajalca)
2019-03-18,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,"petre daea, romunski minister za kmetijstvo",protokolarno,neposredno,srebrni priložnostni kovanec,76,OSEBNA NESTROKOVNA OCENA,"DELOVNI OBISK MZZ LOGARJA V GRČIJI, 03.11.2021",Subjekta javnega sektorja (delodajalca)
2017-12-12,OBČINA ŽALEC,funkcionar,"transporti draganović, Žalec",priložnostno,neposredno,4 kom kristalni kozarci rogaška slatina,76,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2014-02-26,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO - TRŽNI INŠPEKTORAT REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"mR. MURODOV DUSTMUROD, eXECUTIVE OFFICE OF THE PRESIDENT OF THE REPUBLIC OF TAJIKISTAN",priložnostno,neposredno,SLIKA,75,osebna nestrokovna ocena,URADNI OBISK V MOLDAVIJI,Subjekta javnega sektorja (delodajalca)
2014-03-11,MESTNA OBČINA MURSKA SOBOTA,državni organ/lokalna skupnost/nosilec javnih pooblastil,alfred lehmann,protokolarno,neposredno,rezbarija v lesu,75,laična ocena,obisk mednarodne delegacije organa za preprečevanje korupcije iz uzbekistana,Subjekta javnega sektorja (delodajalca)
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"jakup krasniqi, predsednik skupščine replike kosovo",protokolarno,neposredno,nalivno pero pelikan,75,OSEBNA NESTROKOVNA OCENA,Delovno srečanje ob robu 60. obletnice Gibanja neuvrščenih v Beogradu,Subjekta javnega sektorja (delodajalca)
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Gospod Kamalladin Heydarov, minister za izredne razmere Republike Azerbajdžan",protokolarno,neposredno,ZBIRKA 3 KNJIG »The Armenian Question in the Caucasus/ Russian Archive Documents and Publications«,75,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2014-04-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,Turški center za strateške študije tasam,priložnostno,posredno,"nagrada ""tasam strategic vision award"" (stekleni kipec in listina)",75,primerjava po spletu s podobnimi izdelki,sprejem v državnem zboru,Subjekta javnega sektorja (delodajalca)
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"darja kauptman, županja občine kobarid",protokolarno,neposredno,bronast kip,75,OSEBNA NESTROKOVNA OCENA,"DELOVNI OBISK MZZ GRUZIJE V SLOVENIJI, 15.10.2021",Subjekta javnega sektorja (delodajalca)
2015-03-31,MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,državni organ/lokalna skupnost/nosilec javnih pooblastil,iršič dušan s.p.,priložnostno,neposredno,hrana,75,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V REPUBLIKI SLOVENIJI,Subjekta javnega sektorja (delodajalca)
2016-11-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"PETER POROŠENKO, UKRAJINSKI PREDSEDNIK",protokolarno,neposredno,OGRLICA IN ZAPESTNICA IZ UMETNIH KAMNOV,75,OSEBNA NESTROKOVNA OCENA,SPREJEM,Subjekta javnega sektorja (delodajalca)
2016-11-18,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,MZZ Ruske Federacije,priložnostno,neposredno,samovar,75,osebna nestrokovna ocena,konferenca predsednikov vs eu-ceeli,Subjekta javnega sektorja (delodajalca)
2016-11-21,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"DR. ALI LARIJANI, PREDSEDNIK PARLAMENTA IRAN",protokolarno,neposredno,VITRAŽNI KROŽNIK Z VZORCEM V MODRI BARVI,75,osebna nestrokovna ocena,konferenca predsednikov vs eu-ceeli,Subjekta javnega sektorja (delodajalca)
2016-11-22,MINISTRSTVO ZA ZUNANJE ZADEVE,državni organ/lokalna skupnost/nosilec javnih pooblastil,predsednik islamske republike iran dr. rouhani,protokolarno,neposredno,emajliran komplet vrčka in krožnika,75,osebna nestrokovna ocena,konferenca predsednikov vs eu- ceeli,Subjekta javnega sektorja (delodajalca)
2016-12-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"RECEP TAYYIP ERDOĞAN, PREDSEDNIK REPUBLIKE TURČIJE",protokolarno,neposredno,"KERAMIČNA POSODA V VIDEZU NARAVNEGA KAMNA ""ANATALI",75,osebna nestrokovna ocena,konferena predsednikov VS EU-CEELI,Subjekta javnega sektorja (delodajalca)
